show_id,category,win,year
7,Outstanding Lead Actor In A Comedy Series,False,2018
7,Outstanding Supporting Actress In A Comedy Series,False,2018
7,Outstanding Writing For A Comedy Series,False,2018
7,Outstanding Comedy Series,False,2018
8,SPECIAL CLASSIFICATION OF OUTSTANDING INDIVIDUAL achievement,True,1978
9,Outstanding Comedy Series,True,2019
9,Outstanding Casting For A Comedy Series,True,2019
9,Outstanding Single-Camera Picture Editing For A Comedy Series,True,2019
9,Outstanding Lead Actress In A Comedy Series,True,2019
9,Outstanding Directing For A Comedy Series,True,2019
9,Outstanding Writing For A Comedy Series,True,2019
9,Outstanding Cinematography For A Single-Camera Series (Half-Hour) ,False,2019
9,Outstanding Guest Actress In A Comedy Series,False,2019
9,Outstanding Supporting Actress In A Comedy Series,False,2019
10,Outstanding Lead Actress In A Drama Series,False,1995
10,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN main title theme music,False,1995
10,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN DIRECTING IN A DRAMA,False,1995
10,OUTSTANDING individual achievement in WRITING IN A DRAMA SERIES,False,1995
11,Outstanding Nonfiction Series,True,2012
11,Outstanding Cinematography For Nonfiction Programming,True,2012
11,Outstanding Sound Editing For Nonfiction Programming (Single Or Multi-Camera),True,2012
11,Outstanding Picture Editing For Nonfiction Programming,True,2012
11,Outstanding Sound Mixing For Nonfiction Programming,False,2012
12,Outstanding Documentary Or Nonfiction Special,True,2018
12,Outstanding Directing For A Documentary/Nonfiction Program,False,2018
12,Outstanding Picture Editing For A Nonfiction Program,False,2018
13,Outstanding Sound Mixing for a Limited Series or Movie,True,2017
13,"Outstanding Sound Editing for a Limited Series, Movie or Special",True,2017
13,Television Academy Honors,True,2017
13,Outstanding Lead Actor in a Limited Series or Movie,True,2017
13,Outstanding Cinematography for a Limited Series or Movie,True,2017
13,Outstanding Single-Camera Picture Editing for a Limited Series or Movie,True,2017
13,"Outstanding Writing for a Limited Series, Movie, or Dramatic Special",False,2017
